case,M,N,K,output_mode,relu,quant_shift,memory_profile,case_class,total_cycles,mac_cycles,compute_cycles,dma_cycles,stall_cycles,mac_utilization_pct,effective_ops_per_cycle
stress_39_11x10x13,11,10,13,INT8,enabled,7,zero-wait,constrained-random-stress,3106,117,181,2901,0,76.389,0.920798
stress_40_9x8x15,9,8,15,INT32,disabled,15,zero-wait,constrained-random-stress,1282,90,133,1125,0,75.000,1.684867
stress_41_9x13x2,9,13,2,INT8,disabled,31,zero-wait,constrained-random-stress,1099,24,197,878,0,60.938,0.425842
stress_42_8x3x9,8,3,9,INT32,enabled,0,stalled-1,constrained-random-stress,844,18,34,786,123,75.000,0.511848
stress_43_11x14x5,11,14,5,INT8,enabled,1,zero-wait,constrained-random-stress,2206,60,200,1982,0,80.208,0.698096
stress_44_1x8x15,1,8,15,INT32,disabled,2,stalled-2,constrained-random-stress,1372,30,45,1303,286,25.000,0.174927
stress_45_5x14x7,5,14,7,INT8,disabled,3,zero-wait,constrained-random-stress,907,56,134,749,0,54.688,1.080485
stress_46_14x5x14,14,5,14,INT32,enabled,7,zero-wait,constrained-random-stress,1677,112,169,1484,0,54.688,1.168754
stress_47_1x5x4,1,5,4,INT8,enabled,15,zero-wait,constrained-random-stress,208,8,29,155,0,15.625,0.192308
stress_48_9x9x1,9,9,1,INT32,disabled,31,zero-wait,constrained-random-stress,925,9,145,756,0,56.250,0.175135
stress_49_1x5x12,1,5,12,INT8,disabled,0,stalled-1,constrained-random-stress,689,24,39,626,77,15.625,0.174165
stress_50_4x10x4,4,10,4,INT32,enabled,1,zero-wait,constrained-random-stress,438,12,46,368,0,83.333,0.730594
stress_51_1x3x5,1,3,5,INT8,enabled,2,zero-wait,constrained-random-stress,135,5,13,98,0,18.750,0.222222
stress_52_10x7x12,10,7,12,INT32,disabled,3,zero-wait,constrained-random-stress,1649,72,115,1510,0,72.917,1.018799
