signal,absolute_time_ps,time_from_start_ns,value
mem_req_valid,38115000,5735.000,0
mem_req_valid,38185000,5805.000,1
mem_req_valid,38215000,5835.000,0
mem_req_valid,38285000,5905.000,1
mem_req_valid,38315000,5935.000,0
mem_req_valid,38385000,6005.000,1
mem_req_valid,38415000,6035.000,0
mem_req_valid,38485000,6105.000,1
mem_req_valid,38515000,6135.000,0
mem_req_valid,38585000,6205.000,1
mem_req_valid,38615000,6235.000,0
mem_req_valid,38685000,6305.000,1
mem_req_valid,38715000,6335.000,0
mem_req_valid,38785000,6405.000,1
mem_req_valid,38815000,6435.000,0
mem_req_valid,38885000,6505.000,1
mem_req_valid,38915000,6535.000,0
mem_req_valid,38985000,6605.000,1
mem_req_valid,39015000,6635.000,0
mem_req_valid,39085000,6705.000,1
mem_req_valid,39115000,6735.000,0
mem_req_valid,39185000,6805.000,1
mem_req_valid,39215000,6835.000,0
mem_req_valid,39285000,6905.000,1
mem_req_valid,39315000,6935.000,0
mem_req_valid,39385000,7005.000,1
mem_req_valid,39415000,7035.000,0
mem_req_valid,39485000,7105.000,1
mem_req_valid,39515000,7135.000,0
mem_req_valid,39585000,7205.000,1
mem_req_valid,39615000,7235.000,0
mem_req_valid,39685000,7305.000,1
mem_req_valid,39715000,7335.000,0
mem_req_ready,32380000,0.000,0
mem_req_ready,32445000,65.000,1
mem_req_ready,32455000,75.000,0
mem_req_ready,32525000,145.000,1
mem_req_ready,32535000,155.000,0
mem_req_ready,32605000,225.000,1
mem_req_ready,32615000,235.000,0
mem_req_ready,32685000,305.000,1
mem_req_ready,32695000,315.000,0
mem_req_ready,32765000,385.000,1
mem_req_ready,32775000,395.000,0
mem_req_ready,32845000,465.000,1
mem_req_ready,32855000,475.000,0
mem_req_ready,32925000,545.000,1
mem_req_ready,32935000,555.000,0
mem_req_ready,33005000,625.000,1
mem_req_ready,33015000,635.000,0
mem_req_ready,33085000,705.000,1
mem_req_ready,33095000,715.000,0
mem_req_ready,33165000,785.000,1
mem_req_ready,33175000,795.000,0
mem_req_ready,33245000,865.000,1
mem_req_ready,33255000,875.000,0
mem_req_ready,33325000,945.000,1
mem_req_ready,33335000,955.000,0
mem_req_ready,33405000,1025.000,1
mem_req_ready,33415000,1035.000,0
mem_req_ready,33485000,1105.000,1
mem_req_ready,33495000,1115.000,0
mem_req_ready,33565000,1185.000,1
mem_req_ready,33575000,1195.000,0
mem_req_ready,33645000,1265.000,1
mem_req_ready,33655000,1275.000,0
mem_req_ready,33725000,1345.000,1
mem_req_ready,33735000,1355.000,0
mem_req_ready,33805000,1425.000,1
mem_req_ready,33815000,1435.000,0
mem_req_ready,33885000,1505.000,1
mem_req_ready,33895000,1515.000,0
mem_req_ready,33965000,1585.000,1
mem_req_ready,33975000,1595.000,0
mem_req_ready,34045000,1665.000,1
mem_req_ready,34055000,1675.000,0
mem_req_ready,34125000,1745.000,1
mem_req_ready,34135000,1755.000,0
mem_req_ready,34205000,1825.000,1
mem_req_ready,34215000,1835.000,0
mem_req_ready,34285000,1905.000,1
mem_req_ready,34295000,1915.000,0
mem_req_ready,34365000,1985.000,1
mem_req_ready,34375000,1995.000,0
mem_req_ready,34465000,2085.000,1
mem_req_ready,34475000,2095.000,0
mem_req_ready,34545000,2165.000,1
mem_req_ready,34555000,2175.000,0
mem_req_ready,34625000,2245.000,1
mem_req_ready,34635000,2255.000,0
mem_req_ready,34705000,2325.000,1
mem_req_ready,34715000,2335.000,0
mem_req_ready,34785000,2405.000,1
mem_req_ready,34795000,2415.000,0
mem_req_ready,34865000,2485.000,1
